push, 11800, 6
push, 5700, 7
push, 17000, 8
pop, 17800, 7
pop, 15300, 6
peek, 4400, 6
peek, 3100, 6
pop, 18100, 5
pop, 11600, 4
pop, 11500, 3
push, 12500, 4
pop, 11900, 3
pop, 11400, 2
push, 7100, 3
push, 9200, 4
push, 4900, 5
peek, 2700, 5
pop, 17000, 4
peek, 3800, 4
push, 9500, 5
pop, 14800, 4
pop, 11900, 3
push, 12400, 4
push, 10200, 5
peek, 3600, 5
pop, 15900, 4
pop, 13100, 3
peek, 4900, 3
pop, 8300, 2
push, 7900, 3
push, 11500, 4
peek, 2700, 4
push, 11400, 5
pop, 15100, 4
push, 4900, 5
push, 9800, 6
pop, 11900, 5
push, 9100, 6
peek, 2800, 6
pop, 18000, 5
peek, 4300, 5
peek, 3300, 5
push, 5900, 6
peek, 3700, 6
push, 13300, 7
push, 15400, 8
peek, 3600, 8
push, 5000, 9
pop, 24500, 8
peek, 2900, 8
peek, 2600, 8
push, 17000, 9
pop, 22000, 8
peek, 3100, 8
peek, 4100, 8
pop, 19200, 7
peek, 3800, 7
push, 9600, 8
pop, 18200, 7
push, 13700, 8
push, 16300, 9
push, 14200, 10
peek, 2700, 10
pop, 22700, 9
peek, 2800, 9
push, 15800, 10
pop, 33700, 9
peek, 3000, 9
pop, 21700, 8
peek, 3900, 8
peek, 2900, 8
pop, 18000, 7
push, 16600, 8
push, 15800, 9
push, 20300, 10
peek, 2900, 10
pop, 20500, 9
peek, 3100, 9
push, 10100, 10
pop, 17800, 9
peek, 2800, 9
peek, 3000, 9
peek, 2900, 9
push, 9300, 10
pop, 25600, 9
push, 15600, 10
pop, 18300, 9
pop, 20700, 8
push, 15300, 9
push, 14700, 10
push, 17300, 11
pop, 20800, 10
peek, 2800, 10
peek, 4300, 10
peek, 3000, 10
peek, 3700, 10
peek, 3400, 10
peek, 3000, 10
pop, 19400, 9
peek, 4000, 9
peek, 3400, 9
push, 11400, 10
push, 14400, 11
peek, 3600, 11
peek, 3100, 11
pop, 23500, 10
pop, 18000, 9
peek, 3100, 9
push, 16300, 10
peek, 3000, 10
pop, 19100, 9
peek, 3200, 9
push, 15700, 10
push, 16100, 11
pop, 21300, 10
push, 5400, 11
push, 5400, 12
push, 16400, 13
pop, 26200, 12
pop, 25000, 11
peek, 3300, 11
pop, 44900, 10
push, 17900, 11
pop, 21400, 10
pop, 17500, 9
pop, 17400, 8
push, 15800, 9
push, 15000, 10
push, 9000, 11
peek, 2500, 11
pop, 22800, 10
pop, 16800, 9
push, 14800, 10
peek, 2500, 10
push, 20200, 11
pop, 22400, 10
peek, 2600, 10
push, 9000, 11
pop, 21000, 10
pop, 17000, 9
pop, 21300, 8
peek, 2400, 8
push, 15000, 9
pop, 20400, 8
peek, 2700, 8
pop, 17700, 7
peek, 2500, 7
push, 8700, 8
peek, 2900, 8
push, 14700, 9
pop, 20500, 8
pop, 17300, 7
push, 15100, 8
pop, 17700, 7
push, 14700, 8
pop, 17200, 7
peek, 2600, 7
push, 16500, 8
push, 15300, 9
push, 8600, 10
pop, 17600, 9
push, 9300, 10
push, 16200, 11
pop, 20600, 10
pop, 17500, 9
push, 14800, 10
peek, 2600, 10
push, 12600, 11
pop, 21500, 10
peek, 4000, 10
push, 4700, 11
peek, 2400, 11
pop, 20800, 10
push, 14600, 11
pop, 20200, 10
peek, 2600, 10
pop, 24900, 9
peek, 3100, 9
pop, 17500, 8
push, 4800, 9
peek, 3900, 9
peek, 3100, 9
peek, 3700, 9
push, 15800, 10
push, 16600, 11
pop, 22100, 10
push, 9200, 11
pop, 21500, 10
push, 15500, 11
pop, 21700, 10
push, 15100, 11
peek, 3100, 11
pop, 22700, 10
pop, 18600, 9
pop, 22700, 8
pop, 17400, 7
push, 14600, 8
push, 14700, 9
pop, 20100, 8
peek, 2500, 8
push, 19800, 9
push, 14600, 10
push, 9100, 11
push, 13500, 12
peek, 2700, 12
pop, 23900, 11
push, 15100, 12
pop, 17800, 11
pop, 16800, 10
pop, 16600, 9
pop, 20000, 8
pop, 16700, 7
push, 14900, 8
pop, 16600, 7
pop, 16800, 6
pop, 10700, 5
peek, 2300, 5
push, 8800, 6
pop, 11000, 5
push, 10600, 6
peek, 2300, 6
pop, 10600, 5
pop, 16000, 4
pop, 10600, 3
peek, 2200, 3
pop, 9600, 2
peek, 2200, 2
peek, 2400, 2
push, 6500, 3
peek, 2200, 3
pop, 7500, 2
pop, 4800, 1
push, 6400, 2
pop, 4400, 1
pop, 4400, 0
push, 2200, 1
peek, 2200, 1
pop, 4400, 0
push, 2100, 1
push, 4300, 2
peek, 2200, 2
pop, 4400, 1
push, 6400, 2
pop, 4300, 1
pop, 4300, 0
push, 2100, 1
push, 4300, 2
peek, 2200, 2
pop, 4500, 1
peek, 2300, 1
peek, 2300, 1
pop, 4500, 0
push, 2300, 1
push, 6600, 2
push, 6400, 3
peek, 2100, 3
pop, 7600, 2
push, 6500, 3
pop, 8100, 2
peek, 2200, 2
pop, 4300, 1
peek, 2400, 1
push, 8500, 2
peek, 3000, 2
peek, 2700, 2
peek, 2600, 2
push, 5300, 3
push, 11100, 4
peek, 2400, 4
peek, 2300, 4
pop, 11300, 3
peek, 2400, 3
push, 12200, 4
push, 4800, 5
pop, 16100, 4
push, 10800, 5
pop, 14700, 4
pop, 10800, 3
push, 11500, 4
push, 16100, 5
push, 13300, 6
pop, 24100, 5
peek, 6400, 5
push, 16300, 6
peek, 6800, 6
push, 14000, 7
push, 16500, 8
push, 16400, 9
peek, 3500, 9
pop, 27200, 8
pop, 23200, 7
push, 14500, 8
push, 10900, 9
peek, 5100, 9
peek, 3700, 9
peek, 3800, 9
pop, 24000, 8
pop, 19100, 7
pop, 17200, 6
peek, 3100, 6
pop, 14100, 5
peek, 3100, 5
pop, 17800, 4
peek, 6100, 4
peek, 4500, 4
push, 10800, 5
peek, 3100, 5
pop, 17300, 4
pop, 11600, 3
push, 11000, 4
peek, 4100, 4
push, 9400, 5
push, 9000, 6
pop, 18900, 5
pop, 11000, 4
peek, 2400, 4
peek, 2600, 4
peek, 2500, 4
peek, 2500, 4
peek, 2400, 4
pop, 11200, 3
